title,original_title,info_text,year,tail,rating,num_ratings,quote,cn_title,en_title
还有明天 / /C'è ancora domani,我们还有明天(台),导演: 宝拉·柯特莱西 Paola Cortellesi 主演: 宝拉·柯特莱西 Paola Corte... 2023 / 意大利 / 剧情 喜剧 历史,2023,意大利 / 剧情 喜剧 历史,9.3,349827,,还有明天,C'è ancora domani
低俗小说 / /Pulp Fiction,黑色追缉令(台),导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra... 1994 / 美国 / 剧情 喜剧 犯罪,1994,美国 / 剧情 喜剧 犯罪,8.9,949263,,低俗小说,Pulp Fiction
超脱 / /Detachment,,导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西... 2011 / 美国 / 剧情,2011,美国 / 剧情,9.0,714872,穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,Detachment
哈利·波特与密室 / /Harry Potter and the Chamber of Secrets,台),导演: Chris Columbus 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛... 2002 / 英国 美国 / 奇幻 冒险,2002,英国 美国 / 奇幻 冒险,8.9,905939,,哈利·波特与密室,Harry Potter and the Chamber of Secrets
一一,Yi yi: A One and a Two,导演: 杨德昌 Edward Yang 主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai... 2000 / 中国台湾 日本 / 剧情 爱情 家庭,2000,中国台湾 日本 / 剧情 爱情 家庭,9.1,498890,,一一,
喜剧之王 / /喜劇之王,,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch... 1999 / 中国香港 / 喜剧 剧情 爱情,1999,中国香港 / 喜剧 剧情 爱情,8.8,1084798,,喜剧之王,喜劇之王
摩登时代 / /Modern Times,Les Temps modernes,导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ... 1936 / 美国 / 剧情 喜剧 爱情,1936,美国 / 剧情 喜剧 爱情,9.3,343060,,摩登时代,Modern Times
杀人回忆 / /살인의 추억,杀手回忆录,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun... 2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,2003,韩国 / 剧情 动作 犯罪 悬疑 惊悚,8.9,827804,,杀人回忆,살인의 추억
致命ID / /Identity,致命身份,导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷... 2003 / 美国 / 剧情 悬疑 惊悚,2003,美国 / 剧情 悬疑 惊悚,8.9,937649,,致命ID,Identity
春光乍泄 / /春光乍洩,Happy Together,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu... 1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,1997,中国香港 日本 韩国 / 剧情 爱情 同性,9.0,704514,,春光乍泄,春光乍洩
加勒比海盗 / /Pirates of the Caribbean: The Curse of the Black Pearl,神鬼奇航：鬼盗船魔咒(台),导演: 戈尔·维宾斯基 Gore Verbinski 主演: 约翰尼·德普 Johnny Depp / ... 2003 / 美国 / 动作 冒险 奇幻,2003,美国 / 动作 冒险 奇幻,8.8,960252,,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl
海豚湾 / /The Cove,海湾,导演: 路易·西霍尤斯 Louie Psihoyos 主演: 路易·西霍尤斯 Louie Psihoyo... 2009 / 美国 / 纪录片,2009,美国 / 纪录片,9.3,380525,海豚的微笑，是世界上最高明的伪装。,海豚湾,The Cove
美国往事 / /Once Upon a Time in America,义薄云天(港),导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ... 1984 / 美国 意大利 / 犯罪 剧情,1984,美国 意大利 / 犯罪 剧情,9.1,467256,,美国往事,Once Upon a Time in America
红辣椒 / /パプリカ,台),导演: 今敏 Satoshi Kon 主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru... 2006 / 日本 / 动画 悬疑 科幻 惊悚,2006,日本 / 动画 悬疑 科幻 惊悚,9.0,562297,梦的勾结。,红辣椒,パプリカ
七宗罪 / /Se7en,7宗罪,导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布... 1995 / 美国 / 剧情 犯罪 悬疑 惊悚,1995,美国 / 剧情 犯罪 悬疑 惊悚,8.8,1052530,,七宗罪,Se7en
唐伯虎点秋香 / /唐伯虎點秋香,,导演: 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈... 1993 / 中国香港 / 喜剧 爱情 古装,1993,中国香港 / 喜剧 爱情 古装,8.8,1214083,,唐伯虎点秋香,唐伯虎點秋香
狩猎 / /Jagten,谎言的烙印(台),导演: 托马斯·温特伯格 Thomas Vinterberg 主演: 麦斯·米科尔森 Mads Mik... 2012 / 丹麦 瑞典 / 剧情,2012,丹麦 瑞典 / 剧情,9.1,464430,人言可畏。,狩猎,Jagten
幽灵公主 / /もののけ姫,幽灵少女,导演: 宫崎骏 Hayao Miyazaki 主演: 松田洋治 Yôji Matsuda / 石田百合... 1997 / 日本 / 动画 奇幻 冒险,1997,日本 / 动画 奇幻 冒险,8.9,663152,,幽灵公主,もののけ姫
甜蜜蜜,,导演: 陈可辛 Peter Chan 主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ... 1996 / 中国香港 / 剧情 爱情,1996,中国香港 / 剧情 爱情,8.9,665231,,甜蜜蜜,
寄生虫 / /기생충,上流寄生族(港),导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun... 2019 / 韩国 / 剧情,2019,韩国 / 剧情,8.8,1535529,,寄生虫,기생충
蝙蝠侠：黑暗骑士崛起 / /The Dark Knight Rises,黑暗骑士：黎明升起(台),导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ... 2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,2012,美国 英国 / 剧情 动作 科幻 犯罪 惊悚,8.9,807508,诺兰就是保证。,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises
天书奇谭,The Legend of Sealed Book,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian 主演: 丁建华 Jianhua Din... 1983(中国大陆) / 2021 / 中国大陆 / 动画 奇幻,1983,2021 / 中国大陆 / 动画 奇幻,9.2,330324,,天书奇谭,
7号房的礼物 / /7번방의 선물,7号囚房的礼物,导演: 李焕庆 Hwan-kyeong Lee 主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi... 2013 / 韩国 / 剧情 喜剧 家庭,2013,韩国 / 剧情 喜剧 家庭,8.9,617553,《我是山姆》的《美丽人生》。,7号房的礼物,7번방의 선물
超能陆战队 / /Big Hero 6,大英雄天团(台),导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams 主演: 斯科特... 2014 / 美国 / 喜剧 动作 科幻 动画 冒险,2014,美国 / 喜剧 动作 科幻 动画 冒险,8.8,1135798,Balalala~~~,超能陆战队,Big Hero 6
第六感 / /The Sixth Sense,灵异第六感(台),导演: M·奈特·沙马兰 M. Night Shyamalan 主演: 布鲁斯·威利斯 Bruce Wi... 1999 / 美国 / 剧情 悬疑 惊悚,1999,美国 / 剧情 悬疑 惊悚,8.9,631243,,第六感,The Sixth Sense
爱在黎明破晓前 / /Before Sunrise,爱在黎明破晓时(台),导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ... 1995 / 美国 奥地利 瑞士 / 剧情 爱情,1995,美国 奥地利 瑞士 / 剧情 爱情,8.8,791918,,爱在黎明破晓前,Before Sunrise
爱在日落黄昏时 / /Before Sunset,爱在日落巴黎时(台),导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ... 2004 / 美国 法国 / 剧情 爱情,2004,美国 法国 / 剧情 爱情,8.9,647022,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,Before Sunset
